NodeID,TagName,ObservabilityMode,Sampling Interval Milliseconds,QueueSize
ns=3;i=6005,Random(752),None,500,1
ns=3;i=6006,Random(677),None,500,1
ns=3;i=6007,Random(743),None,500,1
ns=3;i=6008,Random(675),None,500,1
ns=3;i=6009,Random(614),None,500,1
ns=3;i=6010,Temperature6,None,500,1
ns=3;i=6011,Random(934),None,500,1
ns=3;i=6012,Random(203),None,500,1
ns=3;i=6013,Random(621),None,500,1
ns=3;i=6014,Random(457),None,500,1
ns=3;i=6015,Random(1),None,500,1
ns=3;i=6016,Random(2),None,500,1
ns=3;i=6017,Random(3),None,500,1
ns=3;i=6018,Random(4),None,500,1
ns=3;i=6019,Random(5),None,500,1
ns=3;i=6020,Random(6),None,500,1
ns=3;i=6021,Random(7),None,500,1
ns=3;i=6022,Random(8),None,500,1
ns=3;i=6023,Random(9),None,500,1
ns=3;i=6024,Random(10),None,500,1
ns=3;i=6025,Random(11),None,500,1
ns=3;i=6026,Random(12),None,500,1
ns=3;i=6027,Random(13),None,500,1
ns=3;i=6028,Random(14),None,500,1
ns=3;i=6029,Random(15),None,500,1
ns=3;i=6030,Random(16),None,500,1
ns=3;i=6031,Random(17),None,500,1
ns=3;i=6032,Random(18),None,500,1
ns=3;i=6033,Random(19),None,500,1
ns=3;i=6034,Random(20),None,500,1
ns=3;i=6035,Random(21),None,500,1
ns=3;i=6036,Random(22),None,500,1
ns=3;i=6037,Random(23),None,500,1
ns=3;i=6038,Random(24),None,500,1
ns=3;i=6039,Random(25),None,500,1
ns=3;i=6040,Random(26),None,500,1
ns=3;i=6041,Random(27),None,500,1
ns=3;i=6042,Random(28),None,500,1
ns=3;i=6043,Random(29),None,500,1
ns=3;i=6044,Random(30),None,500,1
ns=3;i=6045,Random(31),None,500,1
ns=3;i=6046,Random(32),None,500,1
ns=3;i=6047,Random(33),None,500,1
ns=3;i=6048,Random(34),None,500,1
ns=3;i=6049,Random(35),None,500,1
ns=3;i=6050,Random(36),None,500,1
ns=3;i=6051,Random(37),None,500,1
ns=3;i=6052,Random(38),None,500,1
ns=3;i=6053,Random(39),None,500,1
ns=3;i=6054,Random(40),None,500,1
ns=3;i=6055,Random(41),None,500,1
ns=3;i=6056,Random(42),None,500,1
ns=3;i=6057,Random(43),None,500,1
ns=3;i=6058,Random(44),None,500,1
ns=3;i=6059,Random(45),None,500,1
ns=3;i=6060,Random(46),None,500,1
ns=3;i=6061,Random(47),None,500,1
ns=3;i=6062,Random(48),None,500,1
ns=3;i=6063,Random(49),None,500,1
ns=3;i=6064,Random(50),None,500,1
ns=3;i=6065,Random(51),None,500,1
ns=3;i=6066,Random(52),None,500,1
ns=3;i=6067,Random(53),None,500,1
ns=3;i=6068,Random(54),None,500,1
ns=3;i=6069,Random(55),None,500,1
ns=3;i=6070,Random(56),None,500,1
ns=3;i=6071,Random(57),None,500,1
ns=3;i=6072,Random(58),None,500,1
ns=3;i=6073,Random(59),None,500,1
ns=3;i=6074,Random(60),None,500,1
ns=3;i=6075,Random(61),None,500,1
ns=3;i=6076,Random(62),None,500,1
ns=3;i=6077,Random(63),None,500,1
ns=3;i=6078,Random(64),None,500,1
ns=3;i=6079,Random(65),None,500,1
ns=3;i=6080,Random(66),None,500,1
ns=3;i=6081,Random(67),None,500,1
