NodeID,TagName,ObservabilityMode,Sampling Interval Milliseconds,QueueSize
ns=3;i=5004,Random(739),None,500,1
ns=3;i=5005,Random(597),None,500,1
ns=3;i=5006,Random(135),None,500,1
ns=3;i=5007,Random(72),None,500,1
ns=3;i=5008,Random(750),None,500,1
ns=3;i=5009,Random(808),None,500,1
ns=3;i=5010,Random(625),None,500,1
ns=3;i=5011,Random(819),None,500,1
ns=3;i=5012,Random(4),None,500,1
ns=3;i=5013,Random(56),None,500,1
ns=3;i=5014,Random(1),None,500,1
ns=3;i=5015,Random(2),None,500,1
ns=3;i=5016,Random(3),None,500,1
ns=3;i=5017,Temperature8,None,500,1
ns=3;i=5018,Random(5),None,500,1
ns=3;i=5019,Random(6),None,500,1
ns=3;i=5020,Random(7),None,500,1
ns=3;i=5021,Random(8),None,500,1
ns=3;i=5022,Random(9),None,500,1
ns=3;i=5023,Random(10),None,500,1
ns=3;i=5024,Random(11),None,500,1
ns=3;i=5025,Random(12),None,500,1
ns=3;i=5026,Random(13),None,500,1
ns=3;i=5027,Random(14),None,500,1
ns=3;i=5028,Random(15),None,500,1
ns=3;i=5029,Random(16),None,500,1
ns=3;i=5030,Random(17),None,500,1
ns=3;i=5031,Random(18),None,500,1
ns=3;i=5032,Random(19),None,500,1
ns=3;i=5033,Random(20),None,500,1
ns=3;i=5034,Random(21),None,500,1
ns=3;i=5035,Random(22),None,500,1
ns=3;i=5036,Random(23),None,500,1
ns=3;i=5037,Random(24),None,500,1
ns=3;i=5038,Random(25),None,500,1
ns=3;i=5039,Random(26),None,500,1
ns=3;i=5040,Random(27),None,500,1
ns=3;i=5041,Random(28),None,500,1
ns=3;i=5042,Random(29),None,500,1
ns=3;i=5043,Random(30),None,500,1
ns=3;i=5044,Random(31),None,500,1
ns=3;i=5045,Random(32),None,500,1
ns=3;i=5046,Random(33),None,500,1
ns=3;i=5047,Random(34),None,500,1
ns=3;i=5048,Random(35),None,500,1
ns=3;i=5049,Random(36),None,500,1
ns=3;i=5050,Random(37),None,500,1
ns=3;i=5051,Random(38),None,500,1
ns=3;i=5052,Random(39),None,500,1
ns=3;i=5053,Random(40),None,500,1
ns=3;i=5054,Random(41),None,500,1
ns=3;i=5055,Random(42),None,500,1
ns=3;i=5056,Random(43),None,500,1
