NodeID,TagName,ObservabilityMode,Sampling Interval Milliseconds,QueueSize
ns=3;i=2002,Random(769),None,500,1
ns=3;i=2003,Random(529),None,500,1
ns=3;i=2004,Random(467),None,500,1
ns=3;i=2005,Random(848),None,500,1
ns=3;i=2006,Random(473),None,500,1
ns=3;i=2007,Random(342),None,500,1
ns=3;i=2008,Random(958),None,500,1
ns=3;i=2009,Random(606),None,500,1
ns=3;i=2010,Random(205),None,500,1
ns=3;i=2011,Random(98),None,500,1
ns=3;i=2012,Random(1),None,500,1
ns=3;i=2013,Random(2),None,500,1
ns=3;i=2014,Random(3),None,500,1
ns=3;i=2015,Random(4),None,500,1
ns=3;i=2016,Random(5),None,500,1
ns=3;i=2017,Random(6),None,500,1
ns=3;i=2018,Random(7),None,500,1
ns=3;i=2019,Random(8),None,500,1
ns=3;i=2020,Random(9),None,500,1
ns=3;i=2021,Random(10),None,500,1
ns=3;i=2022,Random(11),None,500,1
ns=3;i=2023,Random(12),None,500,1
ns=3;i=2024,Random(13),None,500,1
ns=3;i=2025,Random(14),None,500,1
ns=3;i=2026,Random(15),None,500,1
ns=3;i=2027,Random(16),None,500,1
ns=3;i=2028,Random(17),None,500,1
ns=3;i=2029,Random(18),None,500,1
ns=3;i=2030,Random(19),None,500,1
ns=3;i=2031,Random(20),None,500,1
ns=3;i=2032,Random(21),None,500,1
ns=3;i=2033,Random(22),None,500,1
ns=3;i=2034,Random(23),None,500,1
ns=3;i=2035,Random(24),None,500,1
ns=3;i=2036,Random(25),None,500,1
ns=3;i=2037,Random(26),None,500,1
ns=3;i=2038,Random(27),None,500,1
ns=3;i=2039,Random(28),None,500,1
ns=3;i=2040,Random(29),None,500,1
ns=3;i=2041,Random(30),None,500,1
ns=3;i=2042,Random(31),None,500,1
ns=3;i=2043,Random(32),None,500,1
ns=3;i=2044,Random(33),None,500,1
ns=3;i=2045,Random(34),None,500,1
ns=3;i=2046,Random(35),None,500,1
ns=3;i=2047,Random(36),None,500,1
ns=3;i=2048,Random(37),None,500,1
ns=3;i=2049,Random(38),None,500,1
ns=3;i=2050,Random(39),None,500,1
ns=3;i=2051,Random(40),None,500,1
ns=3;i=2052,Random(41),None,500,1
ns=3;i=2053,Random(42),None,500,1
ns=3;i=2054,Random(43),None,500,1
ns=3;i=2055,Random(44),None,500,1
ns=3;i=2056,Random(45),None,500,1
ns=3;i=2057,Random(46),None,500,1
ns=3;i=2058,Random(47),None,500,1
ns=3;i=2059,Random(48),None,500,1
ns=3;i=2060,Random(49),None,500,1
ns=3;i=2061,Random(50),None,500,1
ns=3;i=2062,Random(51),None,500,1
ns=3;i=2063,Random(52),None,500,1
ns=3;i=2064,Random(53),None,500,1
ns=3;i=2065,Random(54),None,500,1
ns=3;i=2066,Random(55),None,500,1
ns=3;i=2067,Random(56),None,500,1
ns=3;i=2068,Random(57),None,500,1
ns=3;i=2069,Random(58),None,500,1
ns=3;i=2070,Random(59),None,500,1
ns=3;i=2071,Random(60),None,500,1
ns=3;i=2072,Random(61),None,500,1
ns=3;i=2073,Random(62),None,500,1
ns=3;i=2074,Random(63),None,500,1
ns=3;i=2075,Random(64),None,500,1
ns=3;i=2076,Random(65),None,500,1
ns=3;i=2077,Random(66),None,500,1
ns=3;i=2078,Random(67),None,500,1
ns=3;i=2079,Random(68),None,500,1
ns=3;i=2080,Random(69),None,500,1
ns=3;i=2081,Random(70),None,500,1
ns=3;i=2082,Random(71),None,500,1
ns=3;i=2083,Random(72),None,500,1
ns=3;i=2084,Random(73),None,500,1
ns=3;i=2085,Random(74),None,500,1
ns=3;i=2086,Random(75),None,500,1
ns=3;i=2087,Random(76),None,500,1
ns=3;i=2088,Random(77),None,500,1
ns=3;i=2089,Random(78),None,500,1
ns=3;i=2090,Random(79),None,500,1
ns=3;i=2091,Random(80),None,500,1
ns=3;i=2092,Random(81),None,500,1
ns=3;i=2093,Random(82),None,500,1
ns=3;i=2094,Random(83),None,500,1
ns=3;i=2095,Random(84),None,500,1
